method,robustness_axis,robustness_value,feedback_noise,feedback_delay_windows,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean,dataset,axis_column
fb_gate_tent,feedback_noise,0.0,0.0,0,0.5,0.01,0.7727533333333334,0.0761127056017784,0.0293066666666666,0.0270169669975577,0.0,0.0,0.1336648762445648,0.3572464158137639,0.0839666666666666,0.0,0.1633333333333333,1.971130975087484,1538.2952473958333,CIFAR-10-C + SVHN,feedback_noise
fb_gate_tent,feedback_noise,0.05,0.05,0,0.5,0.01,0.7752199999999999,0.07730442017964,0.0317733333333333,0.0268387642108912,-0.0018,0.0333333333333333,0.1333893159015973,0.3536080410083135,0.0839866666666666,0.0,0.3233333333333333,1.6631254355112712,1538.8910807291666,CIFAR-10-C + SVHN,feedback_noise
fb_gate_tent,feedback_noise,0.1,0.1,0,0.5,0.01,0.77422,0.0778106339687621,0.0307733333333333,0.029672917331946,-0.003,0.0333333333333333,0.1343786139428615,0.3553647165497144,0.0843,0.0,0.36,1.6619399627049765,1538.8119140625,CIFAR-10-C + SVHN,feedback_noise
fb_gate_tent,feedback_noise,0.2,0.2,0,0.5,0.01,0.77858,0.075749029355338,0.0351333333333333,0.0273985820591244,-0.0008,0.0333333333333333,0.1311654036326209,0.3489106605450312,0.0834066666666666,0.0,0.3033333333333333,1.668606122334798,1538.7160807291666,CIFAR-10-C + SVHN,feedback_noise
fb_gate_tent,feedback_delay_windows,0.0,0.0,0,0.5,0.01,0.7727533333333334,0.0761127056017784,0.0293066666666666,0.0270169669975577,0.0,0.0,0.1336648762445648,0.3572464158137639,0.0839666666666666,0.0,0.1633333333333333,1.971130975087484,1538.2952473958333,CIFAR-10-C + SVHN,feedback_delay_windows
fb_gate_tent,feedback_delay_windows,1.0,0.0,1,0.5,0.01,0.76854,0.0766811247736477,0.0250933333333333,0.0234007800243309,0.0,0.0,0.1358081783736745,0.3635810370246569,0.0847066666666666,0.0,0.1633333333333333,1.711200753847758,1539.0702473958331,CIFAR-10-C + SVHN,feedback_delay_windows
fb_gate_tent,feedback_delay_windows,5.0,0.0,5,0.5,0.01,0.74638,0.0806137722468194,0.0029333333333333,0.0081210383799004,0.0,0.0,0.1486955175937215,0.3966970528165499,0.08974,0.0,0.2333333333333333,0.9205824216206868,1538.6035807291669,CIFAR-10-C + SVHN,feedback_delay_windows
fb_gate_tent,feedback_noise,0.0,0.0,0,0.5,0.01,0.5141,0.109576875864107,0.0467866666666666,0.0299855566764301,0.0,0.0,0.228417536885937,0.698014090458552,0.0847266666666666,0.0,0.17,1.5528454542160035,1538.8904296875,CIFAR-100-C + SVHN,feedback_noise
fb_gate_tent,feedback_noise,0.05,0.05,0,0.5,0.01,0.5168866666666667,0.1115407540591866,0.0495733333333333,0.0326308816427262,0.0071999999999999,0.0,0.2281395505289236,0.6954548776149749,0.0854666666666666,0.0,0.3333333333333333,1.677427244186401,1539.7445963541666,CIFAR-100-C + SVHN,feedback_noise
fb_gate_tent,feedback_noise,0.1,0.1,0,0.5,0.01,0.5200666666666667,0.1141215846891114,0.0527533333333333,0.0386420062066937,0.0045999999999999,0.0,0.2277914898959299,0.6922511955102285,0.0858733333333333,0.0,0.4066666666666666,1.6773311138153075,1539.5654296875,CIFAR-100-C + SVHN,feedback_noise
fb_gate_tent,feedback_noise,0.2,0.2,0,0.5,0.01,0.5223866666666667,0.1156730700138835,0.0550733333333333,0.0354188526979175,0.0037999999999999,0.0,0.2261420620633661,0.6888115167617798,0.0850666666666666,0.0,0.3399999999999999,1.6750218152999878,1539.5570963541666,CIFAR-100-C + SVHN,feedback_noise
fb_gate_tent,feedback_delay_windows,0.0,0.0,0,0.5,0.01,0.5141,0.109576875864107,0.0467866666666666,0.0299855566764301,0.0,0.0,0.228417536885937,0.698014090458552,0.0847266666666666,0.0,0.17,1.5528454542160035,1538.8904296875,CIFAR-100-C + SVHN,feedback_delay_windows
fb_gate_tent,feedback_delay_windows,1.0,0.0,1,0.5,0.01,0.5068466666666667,0.1121129317753504,0.0395333333333333,0.0261710729140259,0.0,0.0,0.2322444824883838,0.7075300474961599,0.0853666666666666,0.0,0.17,1.723984924952189,1539.2987630208331,CIFAR-100-C + SVHN,feedback_delay_windows
fb_gate_tent,feedback_delay_windows,5.0,0.0,5,0.5,0.01,0.4761533333333334,0.1211986876375213,0.0088399999999999,0.0153720211580246,0.0,0.0,0.2485181608503063,0.7522443175315857,0.0884266666666666,0.0,0.3166666666666666,0.9320419947306317,1539.5029296875,CIFAR-100-C + SVHN,feedback_delay_windows
