method,robustness_axis,robustness_value,feedback_noise,feedback_delay_windows,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.0,0.74131,0.0820067968167147,0.0,0.0,0.0,0.0,0.15103371105675892,0.4044675270716349,0.09135666666666667,0.0,0.0,0.8870816628138224,785.5479166666667
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.001,0.79499,0.06298468533069682,0.05368000000000001,0.03731548998878949,0.0,0.0,0.11427618616958454,0.3195508852601051,0.07136666666666666,0.0,0.22000000000000003,1.942137026786804,1538.2285807291667
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.005,0.81917,0.0545525254638386,0.07786000000000003,0.04325418536655312,0.025999999999999912,0.0,0.09855533627038197,0.28057623803615567,0.06265666666666667,0.0,0.4066666666666666,1.9304624954859415,1538.3035807291667
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.01,0.8211999999999999,0.054206705272980035,0.07989,0.04424561034139725,0.026699999999999946,0.0,0.09735236073950923,0.2777402013540267,0.06228,0.0,0.46,1.9164833545684814,1538.2619140625
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.02,0.82314,0.05116596794610718,0.08183000000000001,0.04476140694531549,0.02739999999999998,0.0,0.09552554316982624,0.275020915766557,0.06131333333333333,0.0,0.43,1.9188449382781982,1538.3369140625
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.05,0.82438,0.051269352275590735,0.08307000000000002,0.044463003993634204,0.028800000000000048,0.0,0.09456725342174366,0.2732997631033261,0.06073,0.0,0.4233333333333333,1.9012555281321208,1538.1952473958333
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.0,0.1,0.82337,0.051161429100311615,0.08206000000000001,0.04410306580945483,0.028800000000000048,0.0,0.09507487801586584,0.2752282614509264,0.061239999999999996,0.0,0.36333333333333334,1.9121692816416422,1538.2285807291667
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.1,0.0,0.7409777777777777,0.0822521349750925,0.0,0.0,0.0,0.0,0.151413290816711,0.4052930245796839,0.09166296296296292,0.0,0.0,0.8920243660608927,785.58125
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.1,0.001,0.7758370370370371,0.06452489847384081,0.03485925925925925,0.033218408952637786,0.0,0.0,0.1268785343278889,0.34874393939971926,0.07764074074074069,0.0,0.11666666666666667,1.941425887743632,1538.2285807291667
fb_gate_tent,feedback_delay_windows,0,0.0,0,0.1,0.005,0.8088777777777777,0.055435866089041524,0.0679,0.042150406256074795,0.005222222222222239,0.0,0.10519532195754623,0.2979845657944679,0.06659629629629625,0.0,0.30333333333333334,1.9459136486053468,1538.3119140625
