method,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean
atta_or_simatta_style_active,0.0,0.0,0.74131,0.0820067968167147,0.0,0.0,0.0,0.0,0.15103371105675895,0.4044675270716349,0.09135666666666667,0.0,0.0,0.7779022455215454,742.3873372395833
atta_or_simatta_style_active,0.0,0.001,0.7715433333333334,0.06771431715026328,0.03023333333333334,0.02282728756272335,-0.0050000000000000044,0.1,0.1422926309331258,0.36434391140937805,0.09278666666666666,0.0,1.0,0.8931266864140829,785.573046875
atta_or_simatta_style_active,0.0,0.005,0.7844533333333333,0.06322756782712217,0.04314333333333335,0.021925480112438125,0.009299999999999975,0.0,0.1284014935139815,0.34029572357734045,0.08251666666666665,0.0,1.0,0.9116348822911581,786.573046875
atta_or_simatta_style_active,0.0,0.01,0.7881833333333332,0.062421089955754294,0.04687333333333335,0.022607519855636284,0.015799999999999925,0.0,0.12504849282592534,0.3339690834283829,0.08025,0.0,1.0,0.9369773626327514,785.7022135416667
atta_or_simatta_style_active,0.0,0.02,0.7910400000000001,0.06152958693966275,0.049730000000000024,0.02431036603080513,0.020000000000000018,0.0,0.12213551872019966,0.32828274369239807,0.07775666666666667,0.0,1.0,0.9922850767771403,1270.1439453125
atta_or_simatta_style_active,0.0,0.05,0.7994166666666668,0.05887307260676073,0.058106666666666675,0.028554411861945427,0.024499999999999966,0.0,0.11542742651393016,0.3144083251555761,0.07376,0.0,1.0,1.206838059425354,1542.0500651041666
atta_or_simatta_style_active,0.0,0.1,0.8106766666666666,0.054863596896009455,0.06936666666666667,0.03531524368854913,0.02839999999999998,0.0,0.10693372438977163,0.29608759433031084,0.06901333333333334,0.0,1.0,1.5673981666564942,1542.9979817708333
atta_or_simatta_style_active,0.1,0.0,0.7409777777777777,0.0822521349750925,0.0,0.0,0.0,0.0,0.15141329081671104,0.4052930245796839,0.09166296296296297,0.0,0.0,0.7664354721705119,742.4842122395834
atta_or_simatta_style_active,0.1,0.001,0.7626000000000001,0.061099187969568446,0.021622222222222213,0.02793461623440483,-0.0311111111111112,0.13333333333333333,0.1461774305096379,0.3773718188206355,0.09346666666666666,0.0,0.8966666666666666,0.8709662357966105,785.210546875
atta_or_simatta_style_active,0.1,0.005,0.7800444444444444,0.06270311295803026,0.03906666666666666,0.02478674648258614,0.007777777777777772,0.0,0.1332845789220598,0.3489693969488144,0.08595555555555555,0.0,0.9966666666666666,0.9048247973124186,785.8397135416667
atta_or_simatta_style_active,0.1,0.01,0.7828814814814815,0.0644004205114747,0.0419037037037037,0.022320410155769594,0.01577777777777778,0.0,0.13020436520791717,0.34351416677236557,0.0840111111111111,0.0,1.0,0.9234004259109497,785.735546875
atta_or_simatta_style_active,0.1,0.02,0.7888333333333333,0.062466275277475086,0.047855555555555554,0.024117989908102242,0.020000000000000018,0.0,0.12454029447728837,0.3334685121973356,0.08042962962962963,0.0,1.0,0.9404325723648072,827.7051432291667
atta_or_simatta_style_active,0.1,0.05,0.7964444444444445,0.06041909120074591,0.05546666666666666,0.027445202961581167,0.023666666666666725,0.0,0.11711472194492817,0.3204738770922025,0.07584444444444444,0.0,1.0,1.0589629252751669,1515.9030598958334
atta_or_simatta_style_active,0.1,0.1,0.8063888888888889,0.05611178824370458,0.0654111111111111,0.03313109980625565,0.023555555555555552,0.0,0.10986340523511172,0.3041454260547956,0.07153333333333332,0.0,1.0,1.318175196647644,1541.4511067708333
atta_or_simatta_style_active,0.2,0.0,0.7417833333333334,0.08253645963778813,0.0,0.0,0.0,0.0,0.1512563830813393,0.40409049987792967,0.0915625,0.0,0.0,0.7834719181060791,742.8237955729167
atta_or_simatta_style_active,0.2,0.001,0.7585625,0.06142721328798489,0.01677916666666668,0.027202360352814377,-0.02574999999999994,0.23333333333333334,0.149429246232224,0.3834438810745875,0.09597499999999999,0.0,0.8200000000000001,0.8715177456537883,785.454296875
