method,robustness_axis,robustness_value,feedback_noise,feedback_delay_windows,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.0,0.4727366666666667,0.12893535531643255,0.0,0.0,0.0,0.0,0.2490895438816398,0.756009844938914,0.08818,0.0,0.0,0.68748992284139,786.3139322916667
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.001,0.5328833333333333,0.10642818554387233,0.06014666666666666,0.05381732020477226,0.0,0.0,0.2119913358519226,0.670390264193217,0.07901666666666667,0.0,0.14,1.5282966454823812,1539.0779296875
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.005,0.5814133333333333,0.07907047809231413,0.10867666666666667,0.06359863197039499,0.01990000000000003,0.0,0.1842253173800433,0.6020159641901652,0.07226,0.0,0.33,1.538375973701477,1539.0279296875
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.01,0.5957733333333334,0.07488218301661168,0.12303666666666667,0.06645515201912533,0.034500000000000086,0.0,0.17680949778931832,0.581191728512446,0.07017000000000001,0.0,0.42,1.548225474357605,1539.0529296875
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.02,0.5959233333333334,0.07319443017877389,0.12318666666666665,0.0679256628834855,0.03410000000000002,0.0,0.1766308232270181,0.5807863672574362,0.07024666666666667,0.0,0.4,1.5540889898935955,1539.0029296875
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.05,0.59788,0.07226679210660535,0.12514333333333333,0.06838442393397498,0.0343,0.0,0.1755375152404358,0.5782206863164902,0.06981333333333332,0.0,0.4,1.5526816288630167,1539.0612630208334
fb_gate_tent,feedback_noise,0.0,0.0,0,0.0,0.1,0.59788,0.07286208228209481,0.12514333333333333,0.06681889926398499,0.03939999999999999,0.0,0.17498464249100534,0.5783117016156515,0.06974333333333332,0.0,0.35,1.5789438327153524,1538.9279296875
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.0,0.4718148148148148,0.1284265930844045,0.0,0.0,0.0,0.0,0.25022190426226565,0.7578247765700022,0.08892592592592588,0.0,0.0,0.6892764409383138,786.359765625
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.001,0.5251222222222222,0.11189825910913904,0.053307407407407394,0.04310088636632258,0.0,0.0,0.21815875481982472,0.6822195221980413,0.08103333333333329,0.0,0.14,1.5323505640029906,1539.0820963541667
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.005,0.5659481481481482,0.08780059227898719,0.09413333333333333,0.055616107996785326,0.028666666666666618,0.0,0.1944464243802483,0.6241554508606593,0.07548518518518516,0.0,0.25666666666666665,1.5409512758255004,1538.9820963541667
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.01,0.5850148148148148,0.08054150350860906,0.1132,0.059525614364171815,0.0401111111111111,0.0,0.1845076850627307,0.5965224693218867,0.07258148148148143,0.0,0.4066666666666667,1.5445089101791383,1539.0112630208334
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.02,0.5797925925925926,0.07802376390425818,0.10797777777777777,0.06452695471046224,0.016888888888888842,0.0,0.18618052408913216,0.6044447839260101,0.0734333333333333,0.0,0.32333333333333336,1.554568640391032,1538.9612630208333
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.05,0.5893444444444444,0.07608829173817667,0.11752962962962964,0.06372190193450078,0.03822222222222227,0.0,0.18152679411205977,0.5903539458910624,0.07136666666666662,0.0,0.36000000000000004,1.5572065194447835,1538.9570963541667
fb_gate_tent,feedback_noise,0.0,0.0,0,0.1,0.1,0.5869518518518518,0.0773986967973542,0.11513703703703705,0.06384803746981567,0.018555555555555547,0.0,0.1824000524460165,0.594231974085172,0.07195925925925922,0.0,0.33,1.5790970087051392,1538.9862630208333
fb_gate_tent,feedback_noise,0.0,0.0,0,0.2,0.0,0.4688125,0.1275713532170837,0.0,0.0,0.0,0.0,0.25224656100439213,0.7622202734152476,0.08957916666666667,0.0,0.0,0.6870020151138305,786.422265625
fb_gate_tent,feedback_noise,0.0,0.0,0,0.2,0.001,0.5169333333333334,0.10820580612834531,0.04812083333333333,0.05415179100555396,0.0,0.0,0.22307823047242126,0.6942654490470886,0.083025,0.0,0.10666666666666667,1.5283243815104166,1538.9654296875
fb_gate_tent,feedback_noise,0.0,0.0,0,0.2,0.005,0.5493833333333333,0.09240054609979444,0.08057083333333331,0.0565120112665003,0.0,0.0,0.20401181889825185,0.6473529835542043,0.0777625,0.0,0.24333333333333332,1.541074021657308,1538.9737630208333
fb_gate_tent,feedback_noise,0.0,0.0,0,0.2,0.01,0.5673166666666667,0.07958150055059951,0.09850416666666666,0.05954739929008357,0.022499999999999964,0.0,0.19371265629196224,0.6220808764298756,0.07573333333333333,0.0,0.31,1.5547675212224326,1538.8820963541666
fb_gate_tent,feedback_noise,0.0,0.0,0,0.2,0.02,0.5604375,0.08064683779368347,0.091625,0.05765647748997267,0.0,0.0,0.19718143648966213,0.6313652694225311,0.0764125,0.0,0.25666666666666665,1.5532917102177939,1538.9195963541667
fb_gate_tent,feedback_noise,0.0,0.0,0,0.2,0.05,0.5704166666666667,0.083429186970183,0.10160416666666666,0.05780688424107391,0.011874999999999969,0.0,0.1925068164170409,0.617133245865504,0.07508333333333334,0.0,0.26999999999999996,1.5585863749186197,1539.0029296875
