method,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,ece_std,brier_mean,oem_0_9_mean,accept_rate_mean,collapse_rate,runtime_sec_mean,peak_memory_mb_mean
eatta_style_low_label,0.02,0.5253916666666666,0.09952678592127454,0.15094666666666667,0.080833007326502,0.031399999999999983,0.0,0.22358887613561004,0.05369558335632214,0.684136363863945,0.084435,1.0,0.0,0.8900652090708415,1495.3079752604167
eatta_style_low_label,0.05,0.5285566666666667,0.09846658620501707,0.15411166666666665,0.08223399250066162,0.03249999999999997,0.0,0.2189197729977158,0.05251913395566566,0.6775947396953901,0.08226166666666666,1.0,0.0,0.8771467884381612,1495.4486002604167
eatta_style_low_label,0.1,0.5307316666666667,0.09776560258098245,0.15628666666666666,0.08260463003945243,0.03210000000000002,0.0,0.21571334554844226,0.051653461522258866,0.673426536222299,0.0807,1.0,0.0,0.9135018348693847,1495.1902669270833
fb_gate_tent,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.6719436764717102,786.347265625
fb_gate_tent,0.001,0.45599,0.13796329492210133,0.08154499999999999,0.07223459058007588,0.0,0.0,0.26064822231123846,0.09347578977463036,0.7809980442126592,0.091475,0.16,0.0,1.4905818223953247,1539.1112630208333
fb_gate_tent,0.005,0.5187083333333333,0.1114163109071477,0.14426333333333333,0.0826827302827238,0.01100000000000001,0.0,0.22068408201276635,0.06481874889429341,0.6898727128903072,0.08090833333333333,0.35833333333333334,0.0,1.5078121304512024,1539.0362630208333
fb_gate_tent,0.01,0.5304466666666666,0.10799458157573233,0.15600166666666665,0.08436911534616082,0.02629999999999999,0.0,0.21434529251994566,0.06160101739419659,0.6738485594590505,0.07966166666666667,0.45666666666666667,0.0,1.5156548380851746,1539.0154296875
fb_gate_tent,0.02,0.5352,0.10170716688911434,0.16075499999999998,0.08645601884724542,0.032299999999999995,0.0,0.21009463677292692,0.05563089455133911,0.6659826303521792,0.07759999999999999,0.41833333333333333,0.0,1.5221436540285747,1539.0279296875
fb_gate_tent,0.05,0.5423866666666667,0.09802869255973864,0.16794166666666666,0.09098677924388322,0.03920000000000001,0.0,0.20550073334165536,0.05196419909113924,0.6555502121647199,0.07621666666666667,0.4083333333333333,0.0,1.5217488765716554,1539.0029296875
fb_gate_tent,0.1,0.54161,0.09569009955341444,0.16716499999999998,0.09097020340078206,0.03510000000000002,0.0,0.20570246887383362,0.05057059682001004,0.6563886284828186,0.07652833333333334,0.39499999999999996,0.0,1.5399023175239563,1538.9779296875
frozen,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
frozen,0.001,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
frozen,0.005,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
frozen,0.01,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
frozen,0.02,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
frozen,0.05,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
frozen,0.1,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.33954466581344606,742.20048828125
full_label_active_reference,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.6069535930951436,742.5546549479167
full_label_active_reference,0.001,0.423775,0.1322396317745342,0.04933,0.04705684733761849,-0.029700000000000004,0.16666666666666666,0.3304126738382379,0.10245490866876521,0.8670801331599554,0.14056166666666667,1.0,0.0,0.6878183046976726,786.3286458333333
full_label_active_reference,0.005,0.456155,0.13103763132029628,0.08170999999999999,0.039799990205262405,0.019399999999999973,0.0,0.2826771212488289,0.08989721383644303,0.7966751684745152,0.10879166666666666,1.0,0.0,0.6990143497784932,787.6078125
full_label_active_reference,0.01,0.46326,0.13100234336110822,0.088815,0.04011153866281252,0.02100000000000002,0.0,0.27200761269710955,0.08776815391087371,0.7813419868548711,0.102225,1.0,0.0,0.7152915875116984,786.1119791666666
full_label_active_reference,0.02,0.4666666666666667,0.1287797629467952,0.09222166666666666,0.04210249838259599,0.026800000000000046,0.0,0.2653398491557191,0.08500628592067008,0.7729633818070094,0.097985,1.0,0.0,0.7079846103986104,785.6223958333334
full_label_active_reference,0.05,0.472545,0.1264658986996032,0.0981,0.04498368819238626,0.023499999999999965,0.0,0.25628186615298815,0.08076072239038194,0.7602911760409673,0.09282,1.0,0.0,0.7310109496116638,787.0015625
full_label_active_reference,0.1,0.47653166666666663,0.1255939509118561,0.10208666666666666,0.04627948429559978,0.026900000000000035,0.0,0.250920535382734,0.07932862315817825,0.7525880197683971,0.09035166666666666,1.0,0.0,0.767571763197581,787.840625
sar_or_come_zero_bit_stable,0.0,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
sar_or_come_zero_bit_stable,0.001,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
sar_or_come_zero_bit_stable,0.005,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
sar_or_come_zero_bit_stable,0.01,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
sar_or_come_zero_bit_stable,0.02,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
sar_or_come_zero_bit_stable,0.05,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
sar_or_come_zero_bit_stable,0.1,0.5519649999999999,0.09292105419956939,0.17751999999999998,0.09347568667840853,0.04500000000000004,0.0,0.19268587404844661,0.045751281866134426,0.6371259291966757,0.07102666666666665,1.0,0.0,1.0719127893447875,1495.2415690104167
self_gate_tent_zero_bit,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.7136658072471619,786.222265625
self_gate_tent_zero_bit,0.001,0.5279583333333333,0.09667526332805115,0.1535133333333333,0.0887591226472375,0.02179999999999993,0.0,0.21420580851768453,0.053440510275968994,0.6759709944327672,0.07892666666666666,0.42833333333333334,0.0,1.4902839501698812,1539.2112630208333
self_gate_tent_zero_bit,0.005,0.5383033333333334,0.0927181476516588,0.16385833333333333,0.09411918569462452,0.021399999999999975,0.0,0.20814062119287127,0.048943578593859345,0.6608298266927402,0.07725833333333335,0.43,0.0,1.513397959868113,1538.9529296875
self_gate_tent_zero_bit,0.01,0.5417333333333333,0.09435602909188531,0.16728833333333334,0.09349110189086642,0.023399999999999976,0.0,0.20619510906642302,0.049683652963245305,0.6561916117866834,0.07697666666666667,0.4266666666666667,0.0,1.516371770699819,1539.1404296875
