method,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,ece_std,brier_mean,oem_0_9_mean,accept_rate_mean,collapse_rate,runtime_sec_mean,peak_memory_mb_mean
atta_or_simatta_style_active,0.0,0.62339,0.17411872989915508,0.0,0.0,0.0,0.0,0.24431991852212695,0.1456118798305129,0.6016008843978246,0.14441333333333334,0.0,0.0,0.6850985407829284,742.03369140625
atta_or_simatta_style_active,0.001,0.6789733333333333,0.13793684856516913,0.05558333333333334,0.04578854185243019,-0.0022999999999999687,0.03333333333333333,0.21212151824377476,0.11191123587949114,0.518070767323176,0.133895,1.0,0.0,0.7780297120412191,785.418359375
atta_or_simatta_style_active,0.005,0.6874066666666666,0.14026236658571678,0.06401666666666668,0.04195085165765123,0.0040000000000000036,0.0,0.20315970488662521,0.11327451652825443,0.5022950160006682,0.12768333333333332,1.0,0.0,0.7902687867482503,786.6147135416667
atta_or_simatta_style_active,0.01,0.6943166666666667,0.1380781394677306,0.07092666666666668,0.042875487314191274,0.012700000000000045,0.0,0.19647848366523785,0.11062997643435371,0.4901195747156938,0.12317666666666667,1.0,0.0,0.8133682171503703,785.5397135416666
atta_or_simatta_style_active,0.02,0.7007883333333333,0.13541361132754848,0.07739833333333336,0.046447168791009914,0.020000000000000018,0.0,0.18951486161850395,0.10594286498756754,0.4773270428180695,0.1175,1.0,0.0,0.8673558473587036,1270.3319661458333
atta_or_simatta_style_active,0.05,0.7170883333333333,0.12607586375236127,0.09369833333333336,0.05545138500407412,0.023299999999999987,0.0,0.17587239388751488,0.09729999879253373,0.449274347225825,0.10893333333333333,1.0,0.0,1.0775098919868469,1541.9620442708333
atta_or_simatta_style_active,0.1,0.7406883333333333,0.10687926515095919,0.11729833333333335,0.07550881751556482,0.02950000000000008,0.0,0.1569404118975252,0.0794346782916862,0.40983030845721563,0.09739833333333332,1.0,0.0,1.3977641145388284,1543.0365234375
bitta_style_binary_feedback,0.0,0.62339,0.17411872989915508,0.0,0.0,0.0,0.0,0.24431991852212695,0.1456118798305129,0.6016008843978246,0.14441333333333334,0.0,0.0,0.682893701394399,742.2201497395833
bitta_style_binary_feedback,0.001,0.6803316666666667,0.13282138444793692,0.05694166666666668,0.05162789382595377,-0.024900000000000033,0.1,0.2148409321395556,0.10772234784902347,0.5193810604512692,0.13826,1.0,0.0,0.8337968269983927,785.4678385416667
bitta_style_binary_feedback,0.005,0.7022999999999999,0.1285171438804428,0.07891000000000001,0.05749051417702735,-0.016199999999999992,0.016666666666666666,0.1968080570718646,0.10408737578893101,0.4821474788089593,0.12722333333333333,1.0,0.0,0.874219294389089,786.1079427083333
